label,text
1,"Verify your account now or it will be suspended"
1,"Urgent action required to avoid account closure"
1,"Click the secure login link immediately"
1,"Your payment failed verify your card now"
1,"Confirm your password to keep access"
1,"You won a prize claim it today"
1,"Update your bank details urgently"
1,"Security alert verify your identity"
1,"Your mailbox will be disabled click to confirm"
1,"Invoice overdue open the payment link"
1,"Reset your account within 24 hours"
1,"Unusual login detected verify now"
1,"Confirm your payroll information immediately"
1,"Your subscription will expire click here"
1,"Final warning update your account"
1,"Urgent document requires verification"
1,"Claim your reward by signing in"
1,"Security team requests immediate verification"
1,"MFA failed verify your account"
1,"Payment confirmation required now"
1,"Your account is locked verify to unlock"
1,"Click to review secure message"
1,"Password expiration notice sign in now"
1,"Action required verify billing details"
1,"Important security update confirm identity"
0,"Team standup at 3pm agenda attached"
0,"Minutes from yesterday meeting"
0,"Quarterly invoice is ready for review"
0,"Project roadmap for next sprint"
0,"Lunch order for Friday"
0,"Reminder about scheduled maintenance"
0,"Please review the attached design document"
0,"HR policy update is available on the intranet"
0,"Client meeting moved to Thursday"
0,"Build completed successfully"
0,"Weekly engineering summary"
0,"Office holiday calendar"
0,"Training session registration confirmation"
0,"Release notes for version 2.1"
0,"Budget review meeting next week"
0,"Conference room booking confirmation"
0,"Code review comments are ready"
0,"Reminder: submit timesheet by Friday"
0,"Travel itinerary for approved trip"
0,"Team newsletter for August"
0,"System maintenance completed overnight"
0,"Your support ticket has been updated"
0,"Product roadmap feedback request"
0,"Workshop materials are available"
0,"Performance review schedule"
